,Florida,California,Pennsylvania,Texas,Virginia,New York,Massachusetts,Colorado,Connecticut,Arizona,Utah,Illinois,the District of Columbia,New Jersey,Michigan,North Carolina,New Hampshire,Wyoming,Maryland,Maine,Washington,Idaho,Oregon,Georgia,Iowa,Missouri,Indiana,Minnesota,North Dakota,Nevada,Delaware,Montana,Louisiana,Hawaii,Rhode Island,Vermont,Alabama,Tennessee,Wisconsin,South Carolina,Nebraska,New Mexico,Ohio,Kentucky,Alaska,West Virginia,Kansas,Mississippi,South Dakota,Oklahoma,Arkansas
2014-12-01,173911.67893702988,406781.3696163772,164037.3572551227,162108.56215822184,241154.71721718775,279523.6890116669,342196.59421724454,273748.19968127436,246058.9382224788,196998.30023522463,233655.96017011037,168118.02905875794,478851.16563486686,305357.7552268181,127581.74530168543,161046.73400497157,228802.85686261603,222164.39084849492,277372.2880148844,190133.97967625162,269342.6485033872,185129.0283178871,252323.94890290787,152408.83812626006,134790.6091170921,135099.71934055988,123591.74530542851,196385.84452795866,220838.57835048522,202437.9600101819,235089.79078215794,210183.625739469,172744.2529780957,497242.21062395023,233968.56682725516,239687.20836033754,136360.83661882082,151070.42133507784,166355.2965342641,152888.3327877374,142966.8771678022,170296.4791960224,122088.75491175124,113834.28923066432,276538.56817908265,106845.9560427821,128305.98141473583,124030.30563395639,171726.06432299587,122456.52326211469,128655.58133049992
2015-01-01,175332.5466757007,409706.1129614426,164120.1864381285,163338.52064503133,241527.3953825623,279954.11682536954,344069.87814796134,276800.9257660795,246220.50293783486,197651.9587600145,234842.41186589873,168358.80710157807,480542.2550844992,305301.90101244417,128121.02706211199,161557.7311510561,229443.8537104176,223272.2477733666,277451.01536652335,190060.6982019737,271540.41708902497,185652.9740721091,254333.7514290782,153007.53095134185,135380.45584866256,135467.18310309981,123842.5769251573,197180.12630011048,222409.15363478704,203509.06042058908,236110.47097190525,211201.98373785103,173777.7155173882,499775.84177256195,234345.50454802424,239719.03871305872,136256.10198222243,151631.3908518474,166792.24205038577,153275.90771046246,143404.01868672427,170535.1993540341,122441.13117193997,113952.55336537502,277449.515429783,107661.16558113437,128841.40508778759,124826.72884280006,172331.15625270872,123079.56105151346,128832.22703874554
2015-02-01,176577.82078736075,412178.08095317,164174.3414184124,164613.17958470932,241895.7293593771,280207.8595722883,346116.8931928977,280207.4193111055,246187.8243137513,198351.55226968144,236187.13986507346,168379.9990020668,481824.8788414911,305402.054066361,128712.76972798134,162127.4768904321,230271.34065612778,224797.49963144583,277555.7778689914,190254.7410761721,273962.98725985194,186530.74290552238,256598.7103571349,153591.9710846844,136146.4029620831,135719.09613285927,124104.71842524006,198175.3334071975,223895.58888105475,204440.9642092531,237277.31260945406,212109.2552533076,174793.93115854997,502443.8064376873,234923.47343634276,240235.85614104327,136143.20763736425,152223.49847196907,167334.16725993762,153727.80173435705,143938.7447211309,170742.0796678298,122822.26575139521,114094.69124287927,278057.50468563783,108156.41845038085,129361.6477637508,125511.55837423001,173220.1755757051,123449.629269571,128987.44960432198
2015-03-01,177677.33309051744,414201.3531555485,164373.5514700793,165859.33242868827,242265.87859077635,280465.50894192775,347971.8579827478,283519.09105506324,246503.5914565801,199317.9645014275,237697.89143643304,168625.14957970817,482386.728009888,305851.5812947454,129530.3120293609,162680.56015122018,231111.4605226121,226339.70940257018,278056.65114655177,190547.66348395692,276232.2854890818,187698.92097622692,258652.09647604436,154248.06405069472,136910.00509814537,136036.55067441138,124389.22537990904,199327.71065413146,225373.56838500148,205656.0117409708,238507.92599007292,213089.93465472464,175596.83889303074,504791.03299851756,235700.29626821502,240894.33962338473,136246.09760076972,152894.0627166894,167961.7086904357,154324.0739348992,144491.2740286073,171135.9052367445,123263.74475627854,114318.27487891383,278262.58290740877,108626.9064720674,129772.61768512272,126272.29506255117,174051.64890808068,123731.38910097012,129262.67925412959
2015-04-01,178781.6183595137,416159.64719569683,164810.98497611334,167025.48244876988,242660.19719045356,280933.1078376619,349496.16110293707,286622.55841533997,246946.5409417134,200482.5976149768,239245.5083682673,169038.2924793998,483692.4015209936,306347.95781066694,130527.85446266604,163266.51851981462,232250.62436990414,227778.4150904792,278921.2045758916,191252.24022862187,278349.10592928587,188951.15658182336,260638.02106013335,155069.33094863605,137771.0948086496,136556.3390413651,124821.29066835187,200541.71501073745,227174.4230939167,207109.92139601594,239466.5389712845,214435.82525958258,176505.73202183304,506342.2794667789,236628.44301264329,241733.3716672446,136754.4889918929,153700.50165390436,168686.49426089853,155033.63944521642,145251.62909204877,171793.7342346039,123819.8903197507,114854.57028270599,278853.21147027146,109099.3904314305,130327.18731775369,127148.33479493066,174912.35768149878,124117.19562526635,129706.26275778684
2015-05-01,180032.4312569236,418373.8969058174,165428.68730799222,168141.20753837898,243169.92955024444,281772.7914989639,350879.6184987395,289469.742879771,247483.14980312067,201876.33599709094,240883.9408510284,169823.7891472398,484975.71320087224,307135.22712239,131666.27252619408,163913.51186891235,233387.54372238702,228990.07940863166,279760.3505509509,192120.78670443525,280424.5809672048,190372.52572821677,262500.2814699237,155975.34643188427,138512.8220121511,137280.67841722257,125353.67817178818,201718.8036799559,229097.9780228169,208845.13550103627,240045.6394809623,215925.86826164983,177493.17307484092,508129.87967386935,237310.817637456,242654.57030422243,137400.43991760668,154619.30611687407,169501.70808730277,155867.7876250588,146047.76495395086,172413.2011382511,124522.94272751012,115499.82742328201,279761.5459046273,109646.39859612868,130885.92533828846,128234.25699627434,175729.05921308638,124572.82456691726,130123.89793334315
2015-06-01,181314.93596308786,420643.0431948301,165979.7284547895,169252.57390562003,243650.81290675348,282693.11541319144,352033.8947273856,292216.3343209157,247698.06449765761,203264.4982593318,242647.352617825,170468.14276816038,487256.6265831948,307685.10377152695,132678.152009183,164562.17532282055,234512.70701260434,230116.24481407812,280339.0758842164,193163.86070591756,282396.150952398,191693.37648037844,264470.4840691808,156884.65258876546,139099.2791062468,137949.86687733795,125949.76979142106,202696.0260101581,230778.76485689497,211000.2384383583,240740.58492140393,217444.18500420242,178281.67474083565,510091.18057816924,237885.07249117023,243541.2429746417,137941.48867213682,155572.1152917236,170201.3497785638,156685.19935073142,146838.36833316836,172683.08196380388,125199.55509033153,116107.04204532031,280728.85317488626,110141.37992326096,131389.68492607574,129182.85353904894,176632.95572311128,124831.78842896491,130551.43860671093
2015-07-01,182777.2288899436,422431.1225214013,166635.78021308954,170408.09754531377,244274.6488280888,283838.8037762593,353392.4218780355,295106.4702359413,248034.5668749642,204727.81774656367,244631.53017369323,171157.23992792633,490404.00773246726,308471.3115050083,133531.80148911115,165250.09216650182,235652.77061442166,231580.92943086897,280961.54301474965,194296.86970362393,284482.8008908082,192981.68189379128,266713.4333668066,157885.42184881892,139512.07209606716,138688.53481136987,126486.412333575,203547.62883162682,232000.6499743254,213231.78979469827,241707.98611848746,218834.76847320524,178858.55173514187,512734.6138262949,238786.3266965529,244344.989307759,138308.61422166738,156581.04919616834,170732.37085795347,157527.9913793667,147534.28978991866,172907.74862075076,125902.04030130024,116626.68467996192,281815.97718211723,110563.63825262144,131897.23973213733,130179.37103888176,177350.71573531753,125086.28848669196,131062.3314111274
2015-08-01,184325.31319988356,423629.4637025572,167389.51115758927,171613.60902942554,245039.78146049357,285213.0884306489,355180.0297910717,298164.10782333027,248377.57687625647,206230.08490203795,246940.28050680514,171772.37232659225,494035.0434412698,309471.50473121356,134323.60466601976,165964.81839084605,236984.77916147467,233210.83731851564,281559.20067980496,195339.61703382936,286604.88230219396,194216.08462985893,269294.21491409006,158923.77624619257,140106.73071962182,139500.6610486591,127069.41184438994,204392.7272738281,233023.86962726852,215120.31063217265,242976.8335880132,220245.953715108,179151.47415276113,515835.2423977887,239938.27850369774,244919.97513336036,138649.27314068924,157526.0862166018,171212.239132735,158354.72932863308,148369.39841687182,173175.6962412244,126641.63917237498,117220.34622187482,283039.980351524,110974.37931202166,132577.7165209717,131210.50109455653,178197.44344173337,125352.31988558616,131780.5502358978
2015-09-01,186009.3392157875,424654.45197561925,168127.4703822529,172842.8217232756,245918.2598115251,287030.6112684985,357485.4824474317,301383.90423364565,248828.72455406826,207916.46299819532,249292.7653882988,172486.38266415024,498135.49308451073,310927.36416833015,135111.53628104032,166738.47617188445,238398.64286956642,234887.6008077473,282339.7085522756,196460.00918828291,289041.27193360525,195528.3627485168,272119.4191513814,160023.77981591676,140716.14163475437,140345.1141818867,127539.13944484362,205369.69814169302,233804.45170513334,216772.37242668495,244189.00501072794,221695.7733933788,179680.7117598985,519973.46658318414,241335.9929115587,245492.0131801373,138949.39557862605,158509.80207508834,171666.1667904581,159176.59497256693,149190.2454787887,173666.8234849314,127337.78974501423,117779.8926213596,284934.21870959015,111561.68914014527,133334.4488402342,132352.42919708055,179124.5309432545,125856.28123787639,132533.84134639383
2015-10-01,187769.0655311856,425917.92937053874,168684.43085411168,174081.38010230582,246861.9919163752,288996.2959136411,359860.4051276759,304412.3065455896,249267.30919029796,209646.11332328946,251556.55148305208,173479.83103552382,502194.53732491843,312652.5029114635,135924.81530439714,167574.40887939886,239843.06456149832,236147.0075133849,283200.8645498129,197658.03476371907,291703.66389753,196784.19668181418,275341.5106015586,161077.60431459066,141435.7156804159,141162.13781129938,127994.38484519243,206453.11232878105,234732.55384998198,218240.52238413328,245103.55862081554,223156.40563565688,180532.4217332946,524136.9527031115,242744.29790331644,246029.27517541786,139368.36648188904,159556.09803130792,172339.45428338207,160109.7912220653,150097.1045595042,174167.83950411982,127987.98380437268,118341.83145946142,286410.14419087983,112395.72203610279,134185.58054238977,133233.5613641871,180164.1592178533,126193.8313730542,133422.4940213436
2015-11-01,189465.8362377856,426972.44153201353,168966.0367007324,175172.10385290594,247674.50819649952,290602.6083191869,361998.61705010006,307336.1892624102,249695.01068052763,211400.84567494536,253577.48053248192,174425.7231478246,506159.29884075635,314166.96494662866,136597.20620472787,168298.68897745007,241012.20141804204,237008.10573396194,284211.522681654,198705.07864083946,294675.5881404272,197742.8501155472,278540.3231072751,162018.68809254488,142088.9841147363,141776.28996998465,128235.52383297862,207561.85980112248,235436.66518307247,219991.64522370868,245634.6795721116,224532.39423687875,181392.47669270527,527194.337103903,244313.54165350462,246073.55809741654,139758.23105683082,160538.79017317155,173035.56594969585,160994.99568677085,150776.42849523606,174366.83402541393,128381.69493312277,118706.86977203454,287536.2186894196,113048.94718184392,134826.99804921032,133529.36565196127,180866.94410209963,126192.78718508717,134096.4076538592
